Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-March-2024,390.70,394.00,387.75,390.10,391.622989692693094678,888981,16653,348145397.00,390549,43.93,6.25,-0.60
22-March-2024,389.90,395.50,386.65,390.70,391.848190011527627629,530031,7771,207691688.00,154584,29.16,8.85,0.80
21-March-2024,385.40,394.25,384.40,392.10,390.558305448672853288,653884,8221,255379827.00,181686,27.79,9.85,6.70
20-March-2024,385.45,388.25,371.25,379.85,379.019579082951500595,676998,10799,256595497.00,134830,19.92,17.00,-5.60
19-March-2024,392.85,392.85,381.10,383.10,385.793189841874837493,1330718,24645,513381942.00,393228,29.55,11.75,-9.75
18-March-2024,382.40,394.50,378.65,392.85,390.358591222707777624,986728,13528,385177752.00,187290,18.98,15.85,10.45
15-March-2024,384.45,387.90,372.10,380.65,378.099809630040065814,1656774,33536,626425934.00,480857,29.02,15.80,-3.80
14-March-2024,371.75,386.25,365.60,384.45,379.508737950058548201,1219508,17265,462813942.00,363582,29.81,20.65,12.70
13-March-2024,398.50,399.75,367.85,371.75,381.273949298501298195,1648827,26590,628654782.00,556987,33.78,31.90,-26.75
12-March-2024,415.00,415.00,395.00,396.00,403.472763983724525773,1141595,19550,460602490.00,392361,34.37,20.00,-19.00
11-March-2024,415.00,421.35,405.00,413.05,414.052055853024345035,2109465,32133,873428320.00,507804,24.07,16.35,-1.95
7-March-2024,396.40,433.20,396.00,424.95,419.861364025098572716,4039911,50179,1696202543.00,1103563,27.32,37.20,28.55
6-March-2024,396.45,397.55,384.75,394.80,392.025312527428435293,638024,10809,250121558.00,184832,28.97,12.80,-1.65
5-March-2024,393.00,400.00,390.20,396.05,396.013492489653750273,979582,14977,387927689.00,290158,29.62,9.80,3.05
4-March-2024,381.40,394.00,381.00,391.70,389.242119691069014462,1066646,16538,415183550.00,353730,33.16,13.00,10.30
2-March-2024,378.35,383.25,377.15,379.05,379.402554342780599726,75401,2616,28607332.00,51895,68.83,6.10,0.70
1-March-2024,377.65,379.90,374.60,377.40,376.936693187962789260,453095,7799,170788131.00,171133,37.77,5.30,-0.25
29-February-2024,366.60,374.00,363.05,371.70,368.097036064338704062,945061,23246,347874153.00,401843,42.52,10.95,5.10
28-February-2024,375.50,378.20,364.60,366.05,370.301941068555644981,1213919,34831,449516562.00,514003,42.34,13.60,-9.45
27-February-2024,379.45,379.75,374.10,375.55,376.613313275667544189,345670,6886,130183924.00,149184,43.16,5.65,-3.90
26-February-2024,379.00,381.45,377.75,378.30,379.941496910405670375,384031,8348,145909313.00,162008,42.19,3.70,-0.70
23-February-2024,378.85,381.65,377.50,378.30,379.569590952116791119,939181,19884,356484548.00,518904,55.25,4.15,-0.55
22-February-2024,377.95,379.85,369.40,378.00,375.002541239515923149,426957,8196,160109960.00,155977,36.53,10.45,0.05
21-February-2024,381.15,383.90,373.50,375.40,379.952668010084671480,1106630,24502,420467021.00,473139,42.75,10.40,-5.75
20-February-2024,381.35,382.55,376.15,378.95,379.504527171304189495,845782,21771,320978098.00,357359,42.25,6.40,-2.40
19-February-2024,385.00,385.75,379.15,380.50,382.527661571065762064,635123,12481,242952116.00,236194,37.19,6.60,-4.50
16-February-2024,383.55,383.55,375.15,376.15,378.794494928908816265,417070,8683,157983820.00,184167,44.16,8.40,-7.40
15-February-2024,376.75,382.25,374.85,378.80,378.381213248228376137,775983,13413,293617389.00,257805,33.22,7.40,2.05
14-February-2024,365.30,374.65,357.85,373.50,368.068361743186636512,819786,12421,301737290.00,245297,29.92,16.80,8.20
13-February-2024,360.05,366.55,354.65,365.00,361.555156864008245828,2949370,54179,1066359933.00,1044062,35.40,11.90,4.95
12-February-2024,380.90,386.20,359.10,361.75,371.335999139067423435,5445258,127019,2022020320.00,2316142,42.54,27.10,-19.15
9-February-2024,412.75,412.75,384.05,392.10,393.381284321093466739,4092964,86743,1610095435.00,1647260,40.25,28.70,-20.65
8-February-2024,396.90,411.00,393.20,407.55,401.874089652674241381,1024197,14578,411598237.00,329482,32.17,17.80,10.65
7-February-2024,396.65,401.70,392.00,395.10,396.387677195758095279,1436053,26687,569233713.00,541381,37.70,9.70,-1.55
6-February-2024,397.00,397.00,387.00,392.95,392.277442381228704488,537672,11114,210916597.00,236635,44.01,10.00,-4.05
